id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31080123,Comfy quiet little hideaway - centrally located!,127214881,Isabella,,Mariahilf,48.19134,16.34991,Entire home/apt,72,3,189,2025-01-16,2.51,7,106,41,
31083994,Bright room in stylish flat next to Belvedere,41685005,Nadine,,Wieden,48.19127,16.37262,Private room,,2,5,2019-05-22,0.07,1,0,0,
31084712,Minnie Mouse for two (near Mariahilferstraße),163735053,Stojan,,Rudolfsheim-Fnfhaus,48.19507,16.33353,Entire home/apt,,1,41,2024-12-13,0.54,4,197,15,
31100498,Central city trip apartment for couples,68473187,Mara,,Alsergrund,48.21837,16.36273,Entire home/apt,,2,0,,,1,0,0,
31110926,Ferienwohnung nahe VIC,92979273,Birgit,,Leopoldstadt,48.22389,16.39952,Entire home/apt,68,3,91,2025-01-05,1.27,22,266,19,
31115234,"Double room next to the subway, tram&train stops.",5683337,Tev,,Brigittenau,48.23685,16.37734,Private room,40,20,84,2025-03-05,1.12,4,0,3,
31117448,Beautiful ROOM on Top location,232550231,Marko,,Rudolfsheim-Fnfhaus,48.20091,16.33289,Private room,50,1,261,2025-01-26,3.51,1,0,80,
31121254,Extravagant & spacious - cool 6th district living,127214881,Isabella,,Mariahilf,48.1933,16.34989,Entire home/apt,159,3,216,2025-03-01,2.92,7,59,44,
31133260,Junior Suite Fasangasse,8632750,Ting Hsuan,,Landstra§e,48.19039,16.38592,Entire home/apt,107,1,18,2023-01-03,0.24,64,0,0,
31136381,Cozy rooms near the city center,4180190,Dominik,,Landstra§e,48.2053,16.39393,Private room,54,1,156,2025-01-04,2.19,1,65,32,
31137808,Nice Private Room  in the center of Wien,11061990,Giuseppe,,Landstra§e,48.19362,16.40337,Private room,35,1,191,2025-02-10,2.55,4,361,41,
31141749,"Practical room, 15 minutes to center",109659350,Michael,,Ottakring,48.21115,16.32165,Private room,,93,31,2024-12-14,0.42,13,0,3,
31155698,Außergewöhnliche Dachwohnung mit Arbeitsbereich,232880018,Ali,,Neubau,48.20638826947698,16.345478733361315,Entire home/apt,65,29,50,2024-07-04,0.74,1,276,4,
31180486,Cozy Appartment in a student dorm,233091434,Marvin,,Brigittenau,48.23111,16.38474,Entire home/apt,,1,4,2019-02-16,0.05,1,0,0,
31219145,Cozy City Appartment right by the UBahn,8458967,Simone,,Brigittenau,48.22739,16.36529,Entire home/apt,,3,5,2019-03-10,0.07,1,0,0,
31220360,Elegant Apartment in Historic Heart of the First District,233506119,Victoria,,Innere Stadt,48.20723,16.37324,Entire home/apt,155,3,291,2025-02-27,3.93,1,29,64,
31232996,"Practical apartment, 15 minutes to center",109659350,Michael,,Ottakring,48.21277,16.32113,Entire home/apt,60,93,6,2019-12-06,0.08,13,170,0,
31274341,Beautiful Room near City Centre (3.District),112142911,Ivan,,Landstra§e,48.20383,16.39719,Private room,,2,2,2019-01-28,0.03,5,0,0,
31298443,Cosy room in the 20th district and next to U6,58021461,Angelo,,Brigittenau,48.23698,16.38109,Private room,,1,0,,,1,0,0,
31298451,City Apartment Währung (50m2),234254444,Tanja,,Whring,48.22559,16.3335,Entire home/apt,,2,3,2019-04-22,0.04,2,0,0,
31299342,"Apartment Wien Urania, Vienna Urania, River View",234260050,Dagmar,,Leopoldstadt,48.21375,16.38735,Entire home/apt,99,3,168,2025-02-19,2.25,1,260,45,
31300321,City Apartment Währung (25m2),234254444,Tanja,,Whring,48.22601,16.33196,Entire home/apt,,2,1,2019-05-05,0.01,2,0,0,
31307788,Elegant Cozy Apartment,19683711,Bana,,Landstra§e,48.20641,16.39103,Entire home/apt,120,2,83,2023-10-19,1.12,2,123,0,
31309384,Feel Home in Vienna,19683711,Bana,,Landstra§e,48.20561,16.39099,Entire home/apt,150,2,33,2024-12-18,0.44,2,132,1,
31310188,Cozy flat near Schönbrunn Palace,3856658,Judith,,Penzing,48.19269,16.31561,Entire home/apt,,2,0,,,1,0,0,
31313186,Cozy Loftflat near Naschmarkt,27710536,Lisa Mira,,Margareten,48.18092,16.35259,Entire home/apt,,3,0,,,1,0,0,
31321588,Bright and luxurious penthouse,136267129,Kaspar,,Alsergrund,48.21702,16.3426,Entire home/apt,126,5,63,2025-01-01,0.86,1,13,7,
31326280,Stylisches Apartment im hippen Mariahilf,75194407,Anna,,Mariahilf,48.19043,16.34804,Entire home/apt,84,3,14,2022-08-21,0.19,1,9,0,
31326551,Nice room between Sissy Palace and City Centre!,53727205,Giovanni,,Margareten,48.18768,16.34826,Private room,62,2,196,2025-01-03,2.67,1,145,31,
31327841,Nettes und preiswertes Apartment für 3,92979273,Birgit,,Leopoldstadt,48.22324,16.4015,Entire home/apt,106,3,93,2025-01-04,1.27,22,141,28,
31335351,Bright apartment directly on Brunnenmarkt,9030659,Nicholas,,Ottakring,48.21125,16.33442,Entire home/apt,,25,39,2024-05-11,0.53,1,0,1,
31344597,Modernes und neu renoviertes Apartment,92979273,Birgit,,Whring,48.21788,16.34077,Entire home/apt,103,3,37,2025-01-01,0.52,22,258,9,
31345066,Freundliches und preiswertes Apartment für 6,92979273,Birgit,,Alsergrund,48.21687,16.34226,Entire home/apt,,3,115,2025-01-02,1.61,22,283,31,
31351481,Altbauwohnung in TOP Lage,95266059,Hannah,,Wieden,48.19646,16.36233,Private room,,2,0,,,1,0,0,
31367805,Ruhige Altbauwohnung in super Lage,167554163,Thomas,,Brigittenau,48.23413,16.38918,Entire home/apt,40,3,324,2025-02-18,4.35,1,27,57,
31371973,Superior Apartment,116700689,Vienna Luxury Apartments,,Alsergrund,48.21691,16.35543,Entire home/apt,1125,1,2,2020-01-16,0.03,5,330,0,
31371989,Steiner Residences Taborstrasse Comfort Apartments,129960877,Mary & Kiki,,Leopoldstadt,48.22093,16.38222,Entire home/apt,77,1,103,2025-02-18,1.38,43,275,11,
31379097,Wohnen mit Stil bei Schloss-Schönbrunn / 4 Pers.,59773276,Barbara,,Penzing,48.19028,16.30656,Entire home/apt,127,3,76,2025-02-09,1.05,2,284,24,
31382377,Minimalist flat in central Vienna,34533963,Michael,,Leopoldstadt,48.21485,16.39239,Entire home/apt,,2,46,2022-11-19,0.61,1,0,0,
31400193,Heinrich | levestate,679706665,Amelie,,Leopoldstadt,48.21783,16.38033,Entire home/apt,98,1,325,2025-01-02,4.37,14,198,40,
31405157,Cozy flat with Viennese flair in city center,133337526,Christina,,Leopoldstadt,48.22007,16.39746,Private room,,3,0,,,1,0,0,
31451268,New Unique Quiet Perfect Ottakring,28281613,Ulli And Günther,,Ottakring,48.21109,16.32932,Entire home/apt,84,30,20,2024-08-06,0.29,5,173,1,
31534241,CITY Appartment for long stay,3052963,Darius Und David,,Leopoldstadt,48.20634,16.39954,Entire home/apt,39,90,1,2019-11-08,0.02,1,0,0,
31556666,SMARTments - Temporary living in Vienna,152433712,SMARTments,,Favoriten,48.18336,16.37714,Hotel room,142,1,0,,,28,347,0,
